id,HS,TR,AG,HS_original
329,0,0,0,0
330,1,0,0,1
331,0,0,0,0
332,0,0,0,0
333,0,0,0,0
334,1,0,0,1
335,0,0,0,0
336,1,0,1,1
337,0,0,0,0
338,0,0,0,0
339,1,0,0,1
340,0,0,0,0
341,0,0,0,0
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,1,0,0,1
346,1,0,1,1
347,1,0,1,1
348,0,0,0,0
349,1,0,1,1
350,1,0,0,1
351,1,0,0,1
352,0,0,0,0
353,1,0,0,1
354,0,0,0,0
355,1,0,0,1
356,0,0,0,0
357,0,0,0,0
358,1,0,0,1
359,0,0,0,0
360,1,0,1,1
361,0,0,0,0
362,1,0,0,1
363,1,0,1,1
364,0,0,0,0
365,0,0,0,0
366,1,0,0,1
367,1,0,1,1
368,1,0,1,1
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,1,0,1,1
373,1,0,0,1
374,0,0,0,0
375,1,0,1,1
376,0,0,0,0
377,1,0,0,1
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,0,0,0,0
382,0,0,0,0
383,0,0,0,0
384,1,0,0,1
385,0,0,0,0
386,0,0,0,0
387,1,0,1,1
388,0,0,0,0
389,1,0,1,1
390,1,0,1,1
391,1,0,0,1
392,1,0,0,1
393,0,0,0,0
394,0,0,0,0
395,1,0,0,1
396,1,0,0,1
397,0,0,0,0
398,1,0,1,1
399,1,0,1,1
400,0,0,0,0
401,1,0,0,1
402,1,1,0,1
403,1,0,1,1
404,1,0,1,1
405,0,0,0,0
406,1,0,0,1
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,1,0,0,1
412,1,0,0,1
413,1,0,0,1
414,1,0,1,1
415,1,0,1,1
416,0,0,0,0
417,0,0,0,0
418,0,0,0,0
419,0,0,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,1,0,0,1
426,0,0,0,0
427,1,0,1,1
428,0,0,0,0
429,0,0,0,0
430,1,0,1,1
431,0,0,0,0
432,1,0,1,1
433,1,0,0,1
434,0,0,0,0
435,1,0,0,1
436,1,0,1,1
437,0,0,0,0
438,1,0,0,1
439,0,0,0,0
440,1,0,1,1
441,0,0,0,0
442,0,0,0,0
443,0,0,0,0
444,1,0,1,1
445,0,0,0,0
446,0,0,0,0
447,0,0,0,0
448,1,0,1,1
449,0,0,0,0
450,1,0,1,1
451,0,0,0,0
452,0,0,0,0
453,0,0,0,0
454,0,0,0,0
455,1,0,1,1
456,0,0,0,0
457,1,0,0,1
458,0,0,0,0
459,1,0,1,1
460,0,0,0,0
461,1,0,0,1
462,0,0,0,0
463,0,0,0,0
464,0,0,0,0
465,1,0,0,1
466,0,0,0,0
467,1,0,1,1
468,1,0,0,1
469,0,0,0,0
470,1,0,1,1
471,1,0,0,1
472,1,0,1,1
473,0,0,0,0
474,1,0,1,1
475,0,0,0,0
476,0,0,0,0
477,1,0,1,1
478,0,0,0,0
479,0,0,0,0
480,0,0,0,0
481,0,0,0,0
482,1,0,0,1
483,0,0,0,0
484,1,0,0,1
485,1,0,1,1
486,0,0,0,0
487,0,0,0,0
488,0,0,0,0
489,0,0,0,0
490,0,0,0,0
491,0,0,0,0
492,1,0,1,1
493,1,0,0,1
494,0,0,0,0
495,1,0,1,1
496,0,0,0,0
497,0,0,0,0
498,1,0,1,1
499,1,0,1,1
500,0,0,0,0
501,0,0,0,0
502,0,0,0,0
503,0,0,0,0
504,0,0,0,0
505,1,0,0,1
506,0,0,0,0
507,1,0,1,1
508,0,0,0,0
509,0,0,0,0
510,0,0,0,0
511,0,0,0,0
512,1,0,1,1
513,1,0,1,1
514,0,0,0,0
515,1,0,1,1
516,1,0,0,1
517,1,0,1,1
518,0,0,0,0
519,1,0,1,1
520,0,0,0,0
521,1,0,1,1
522,1,0,1,1
523,0,0,0,0
524,0,0,0,0
525,0,0,0,0
526,0,0,0,0
527,0,0,0,0
528,1,0,0,1
529,0,0,0,0
530,0,0,0,0
531,0,0,0,0
532,0,0,0,0
533,1,0,1,1
534,0,0,0,0
535,0,0,0,0
536,0,0,0,0
537,0,0,0,0
538,1,0,1,1
539,1,0,1,1
540,1,0,0,1
541,0,0,0,0
542,0,0,0,0
543,0,0,0,0
544,1,0,0,1
545,0,0,0,0
546,0,0,0,0
547,0,0,0,0
548,0,0,0,0
549,0,0,0,0
550,0,0,0,0
551,1,0,0,1
552,1,0,1,1
553,0,0,0,0
554,0,0,0,0
555,0,0,0,0
556,1,0,0,1
557,0,0,0,0
558,1,0,1,1
559,1,0,0,1
560,1,0,0,1
561,1,0,0,1
562,0,0,0,0
563,1,0,1,1
564,0,0,0,0
565,0,0,0,0
566,0,0,0,0
567,1,0,0,1
568,1,0,1,1
569,1,0,0,1
570,0,0,0,0
571,0,0,0,0
572,0,0,0,0
573,0,0,0,0
574,0,0,0,0
575,1,0,0,1
576,0,0,0,0
577,1,0,1,1
578,0,0,0,0
579,1,0,0,1
580,0,0,0,0
581,1,0,1,1
582,0,0,0,0
583,1,0,0,1
584,0,0,0,0
585,0,0,0,0
586,1,0,1,1
587,0,0,0,0
588,0,0,0,0
589,1,0,0,1
590,1,0,1,1
591,1,0,0,1
592,0,0,0,0
593,0,0,0,0
594,0,0,0,0
595,0,0,0,0
596,0,0,0,0
597,0,0,0,0
598,0,0,0,0
599,0,0,0,0
600,0,0,0,0
601,1,0,0,1
602,0,0,0,0
603,1,0,1,1
604,1,0,1,1
605,0,0,0,0
606,0,0,0,0
607,1,0,1,1
608,0,0,0,0
609,1,0,1,1
610,0,0,0,0
611,0,0,0,0
612,0,0,0,0
613,0,0,0,0
614,1,0,0,1
615,0,0,0,0
616,1,0,1,1
617,0,0,0,0
618,1,0,0,1
619,0,0,0,0
620,1,0,0,1
621,0,0,0,0
622,0,0,0,0
623,1,0,0,1
624,1,0,1,1
625,1,1,1,1
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,1,1,1,1
631,0,0,0,0
632,1,0,0,1
633,1,0,1,1
634,1,0,0,1
635,1,0,1,1
636,0,0,0,0
637,1,0,1,1
638,0,0,0,0
639,1,0,1,1
640,0,0,0,0
641,1,0,0,1
642,1,0,0,1
643,0,0,0,0
644,0,0,0,0
645,0,0,0,0
646,0,0,0,0
647,1,0,1,1
648,1,0,1,1
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,0,0
653,1,0,1,1
654,1,0,1,1
655,0,0,0,0
656,0,0,0,0
657,0,0,0,0
658,0,0,0,0
659,0,0,0,0
660,0,0,0,0
661,0,0,0,0
662,0,0,0,0
663,0,0,0,0
664,0,0,0,0
665,1,0,1,1
666,1,0,1,1
667,0,0,0,0
668,1,0,0,1
669,0,0,0,0
670,0,0,0,0
671,0,0,0,0
672,1,0,0,1
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,0,0,0,0
680,0,0,0,0
681,1,0,0,1
682,1,0,0,1
683,1,0,0,1
684,0,0,0,0
685,0,0,0,0
686,0,0,0,0
687,0,0,0,0
688,0,0,0,0
689,1,0,1,1
690,1,0,0,1
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,1,0,1,1
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,1,0,1,1
699,0,0,0,0
700,1,0,1,1
701,1,0,1,1
702,0,0,0,0
703,0,0,0,0
704,1,0,0,1
705,0,0,0,0
706,0,0,0,0
707,1,0,1,1
708,0,0,0,0
709,1,1,1,1
710,0,0,0,0
711,0,0,0,0
712,0,0,0,0
713,0,0,0,0
714,0,0,0,0
715,0,0,0,0
716,1,0,1,1
717,0,0,0,0
718,0,0,0,0
719,1,0,1,1
720,0,0,0,0
721,1,0,0,1
722,1,0,1,1
723,0,0,0,0
724,0,0,0,0
725,0,0,0,0
726,1,0,1,1
727,0,0,0,0
728,0,0,0,0
729,1,1,0,1
730,0,0,0,0
731,1,0,1,1
732,0,0,0,0
733,1,0,0,1
734,1,0,0,1
735,1,0,0,1
736,0,0,0,0
737,1,0,1,1
738,1,0,1,1
739,0,0,0,0
740,1,0,1,1
741,0,0,0,0
742,1,0,1,1
743,0,0,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,1,1,1,1
748,1,0,1,1
749,1,0,0,1
750,1,1,1,1
751,1,0,1,1
752,0,0,0,0
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
756,1,0,1,1
757,1,0,1,1
758,0,0,0,0
759,0,0,0,0
760,1,0,1,1
761,1,0,1,1
762,0,0,0,0
763,1,0,1,1
764,1,0,1,1
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,1,0,0,1
770,0,0,0,0
771,1,0,1,1
772,0,0,0,0
773,1,0,1,1
774,0,0,0,0
775,0,0,0,0
776,0,0,0,0
777,0,0,0,0
778,0,0,0,0
779,1,0,1,1
780,1,0,0,1
781,1,0,1,1
782,1,1,0,1
783,1,0,0,1
784,0,0,0,0
785,1,1,0,1
786,1,0,1,1
787,0,0,0,0
788,1,0,1,1
789,0,0,0,0
790,1,0,1,1
791,1,1,0,1
792,0,0,0,0
793,1,0,1,1
794,0,0,0,0
795,0,0,0,0
796,1,0,0,1
797,1,0,1,1
798,0,0,0,0
799,0,0,0,0
800,0,0,0,0
801,0,0,0,0
802,1,0,0,1
803,1,0,0,1
804,0,0,0,0
805,0,0,0,0
806,0,0,0,0
807,1,0,1,1
808,0,0,0,0
809,0,0,0,0
810,1,0,0,1
811,1,0,1,1
812,0,0,0,0
813,0,0,0,0
814,1,0,1,1
815,1,0,1,1
816,1,0,0,1
817,1,0,0,1
818,1,0,1,1
819,0,0,0,0
820,1,0,0,1
821,0,0,0,0
822,1,0,0,1
823,1,0,0,1
824,1,0,1,1
825,0,0,0,0
826,0,0,0,0
827,0,0,0,0
828,0,0,0,0
829,1,0,1,1
830,1,0,1,1
831,0,0,0,0
832,0,0,0,0
833,0,0,0,0
834,1,0,0,1
835,0,0,0,0
836,0,0,0,0
837,0,0,0,0
838,1,0,0,1
839,1,1,1,1
840,0,0,0,0
841,1,0,1,1
842,0,0,0,0
843,0,0,0,0
844,0,0,0,0
845,0,0,0,0
846,1,0,0,1
847,1,0,1,1
848,0,0,0,0
849,0,0,0,0
850,0,0,0,0
851,1,0,0,1
852,0,0,0,0
853,1,0,1,1
854,0,0,0,0
855,1,0,1,1
856,0,0,0,0
857,0,0,0,0
858,1,0,1,1
859,0,0,0,0
860,0,0,0,0
861,0,0,0,0
862,0,0,0,0
863,0,0,0,0
864,1,0,1,1
865,0,0,0,0
866,1,0,1,1
867,0,0,0,0
868,0,0,0,0
869,1,0,1,1
870,0,0,0,0
871,0,0,0,0
872,0,0,0,0
873,0,0,0,0
874,0,0,0,0
875,0,0,0,0
876,0,0,0,0
877,1,0,0,1
878,0,0,0,0
879,1,0,0,1
880,0,0,0,0
881,1,0,1,1
882,0,0,0,0
883,1,0,0,1
884,0,0,0,0
885,0,0,0,0
886,0,0,0,0
887,1,0,1,1
888,0,0,0,0
889,0,0,0,0
890,0,0,0,0
891,0,0,0,0
892,0,0,0,0
893,1,0,0,1
894,1,0,0,1
895,1,0,0,1
896,0,0,0,0
897,1,0,1,1
898,1,0,0,1
899,0,0,0,0
900,1,0,0,1
901,0,0,0,0
902,0,0,0,0
903,0,0,0,0
904,0,0,0,0
905,0,0,0,0
906,0,0,0,0
907,0,0,0,0
908,0,0,0,0
909,0,0,0,0
910,0,0,0,0
911,1,0,1,1
912,0,0,0,0
913,0,0,0,0
914,1,0,1,1
915,1,0,1,1
916,1,0,1,1
917,1,1,0,1
918,0,0,0,0
919,0,0,0,0
920,0,0,0,0
921,1,0,1,1
922,0,0,0,0
923,0,0,0,0
924,0,0,0,0
925,1,0,1,1
926,0,0,0,0
927,0,0,0,0
928,1,0,1,1
929,1,1,0,1
930,1,0,1,1
931,1,0,1,1
932,0,0,0,0
933,1,0,0,1
934,1,0,0,1
935,0,0,0,0
936,1,1,0,1
937,0,0,0,0
938,0,0,0,0
939,0,0,0,0
940,0,0,0,0
941,1,0,1,1
942,0,0,0,0
943,0,0,0,0
944,0,0,0,0
945,1,0,0,1
946,0,0,0,0
947,0,0,0,0
948,0,0,0,0
949,0,0,0,0
950,1,0,1,1
951,1,0,0,1
952,0,0,0,0
953,0,0,0,0
954,0,0,0,0
955,0,0,0,0
956,0,0,0,0
957,0,0,0,0
958,1,0,0,1
959,0,0,0,0
960,0,0,0,0
961,1,0,1,1
962,1,0,1,1
963,1,0,1,1
964,1,0,1,1
965,0,0,0,0
966,1,0,1,1
967,1,0,1,1
968,0,0,0,0
969,1,0,0,1
970,0,0,0,0
971,0,0,0,0
972,0,0,0,0
973,0,0,0,0
974,1,1,1,1
975,1,0,0,1
976,1,0,0,1
977,1,0,1,1
978,0,0,0,0
979,0,0,0,0
980,0,0,0,0
981,0,0,0,0
982,0,0,0,0
983,1,0,1,1
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,1,0,1,1
990,0,0,0,0
991,1,0,0,1
992,1,0,0,1
993,1,0,1,1
994,0,0,0,0
995,0,0,0,0
996,0,0,0,0
997,0,0,0,0
998,0,0,0,0
999,1,0,0,1
1000,0,0,0,0
1001,0,0,0,0
1002,0,0,0,0
1003,0,0,0,0
1004,0,0,0,0
1005,1,1,1,1
1006,1,0,1,1
1007,0,0,0,0
1008,1,0,1,1
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,0,0,0,0
1013,1,0,0,1
1014,0,0,0,0
1015,0,0,0,0
1016,0,0,0,0
1017,1,0,1,1
1018,1,0,0,1
1019,0,0,0,0
1020,0,0,0,0
1021,0,0,0,0
1022,0,0,0,0
1023,0,0,0,0
1024,1,0,1,1
1025,0,0,0,0
1026,1,0,0,1
1027,0,0,0,0
1028,1,0,1,1
1029,1,0,1,1
1030,1,0,1,1
1031,0,0,0,0
1032,1,0,1,1
1033,0,0,0,0
1034,0,0,0,0
1035,0,0,0,0
1036,0,0,0,0
1037,0,0,0,0
1038,0,0,0,0
1039,0,0,0,0
1040,1,1,0,1
1041,1,0,1,1
1042,0,0,0,0
1043,0,0,0,0
1044,1,0,1,1
1045,0,0,0,0
1046,0,0,0,0
1047,0,0,0,0
1048,0,0,0,0
1049,0,0,0,0
1050,1,0,1,1
1051,0,0,0,0
1052,1,0,0,1
1053,0,0,0,0
1054,1,1,0,1
1055,1,0,1,1
1056,1,0,0,1
1057,0,0,0,0
1058,1,0,0,1
1059,0,0,0,0
1060,1,0,1,1
1061,0,0,0,0
1062,0,0,0,0
1063,1,1,0,1
1064,1,0,1,1
1065,1,0,1,1
1066,0,0,0,0
1067,1,0,0,1
1068,0,0,0,0
1069,1,0,0,1
1070,1,0,0,1
1071,1,0,0,1
1072,0,0,0,0
1073,1,0,0,1
1074,0,0,0,0
1075,0,0,0,0
1076,1,0,1,1
1077,0,0,0,0
1078,1,0,0,1
1079,0,0,0,0
1080,1,0,0,1
1081,0,0,0,0
1082,1,0,0,1
1083,0,0,0,0
1084,0,0,0,0
1085,0,0,0,0
1086,0,0,0,0
1087,1,0,0,1
1088,0,0,0,0
1089,0,0,0,0
1090,0,0,0,0
1091,1,0,1,1
1092,1,0,1,1
1093,1,0,0,1
1094,1,0,0,1
1095,0,0,0,0
1096,1,0,1,1
1097,0,0,0,0
1098,1,1,1,1
1099,0,0,0,0
1100,0,0,0,0
1101,1,0,1,1
1102,0,0,0,0
1103,0,0,0,0
1104,0,0,0,0
1105,1,0,0,1
1106,1,0,1,1
1107,1,0,1,1
1108,1,0,0,1
1109,0,0,0,0
1110,0,0,0,0
1111,1,0,0,1
1112,1,0,0,1
1113,1,0,1,1
1114,0,0,0,0
1115,1,0,1,1
1116,0,0,0,0
1117,0,0,0,0
1118,0,0,0,0
1119,1,0,1,1
1120,1,0,0,1
1121,0,0,0,0
1122,0,0,0,0
1123,0,0,0,0
1124,1,0,0,1
1125,0,0,0,0
1126,1,0,1,1
1127,0,0,0,0
1128,0,0,0,0
1129,1,0,0,1
1130,1,0,0,1
1131,1,0,1,1
1132,0,0,0,0
1133,0,0,0,0
1134,0,0,0,0
1135,0,0,0,0
1136,0,0,0,0
1137,1,0,1,1
1138,1,0,1,1
1139,1,0,1,1
1140,1,0,0,1
1141,1,1,1,1
1142,1,0,0,1
1143,0,0,0,0
1144,0,0,0,0
1145,0,0,0,0
1146,0,0,0,0
1147,0,0,0,0
1148,1,1,1,1
1149,0,0,0,0
1150,1,0,1,1
1151,0,0,0,0
1152,0,0,0,0
1153,0,0,0,0
1154,0,0,0,0
1155,0,0,0,0
1156,1,0,1,1
1157,0,0,0,0
1158,1,1,0,1
1159,0,0,0,0
1160,1,0,1,1
1161,1,0,1,1
1162,0,0,0,0
1163,1,0,0,1
1164,0,0,0,0
1165,0,0,0,0
1166,0,0,0,0
1167,0,0,0,0
1168,0,0,0,0
1169,0,0,0,0
1170,1,0,1,1
1171,0,0,0,0
1172,0,0,0,0
1173,1,0,0,1
1174,0,0,0,0
1175,0,0,0,0
1176,1,0,1,1
1177,1,0,0,1
1178,0,0,0,0
1179,1,0,0,1
1180,0,0,0,0
1181,0,0,0,0
1182,0,0,0,0
1183,1,0,0,1
1184,1,0,1,1
1185,1,0,0,1
1186,0,0,0,0
1187,1,0,0,1
1188,1,0,0,1
1189,0,0,0,0
1190,1,0,0,1
1191,0,0,0,0
1192,1,0,1,1
1193,0,0,0,0
1194,0,0,0,0
1195,0,0,0,0
1196,0,0,0,0
1197,1,0,1,1
1198,0,0,0,0
1199,0,0,0,0
1200,1,1,0,1
1201,0,0,0,0
1202,1,0,1,1
1203,0,0,0,0
1204,1,0,0,1
1205,1,0,1,1
1206,0,0,0,0
1207,1,0,0,1
1208,1,0,1,1
1209,1,0,0,1
1210,1,1,0,1
1211,0,0,0,0
1212,0,0,0,0
1213,0,0,0,0
1214,0,0,0,0
1215,0,0,0,0
1216,0,0,0,0
1217,0,0,0,0
1218,0,0,0,0
1219,0,0,0,0
1220,0,0,0,0
1221,1,0,1,1
1222,1,1,0,1
1223,1,0,1,1
1224,1,0,1,1
1225,0,0,0,0
1226,1,0,0,1
1227,0,0,0,0
1228,0,0,0,0
1229,1,0,0,1
1230,1,0,1,1
1231,1,0,0,1
1232,0,0,0,0
1233,1,0,0,1
1234,0,0,0,0
1235,0,0,0,0
1236,0,0,0,0
1237,1,0,0,1
1238,0,0,0,0
1239,0,0,0,0
1240,1,0,1,1
1241,1,0,1,1
1242,0,0,0,0
1243,0,0,0,0
1244,1,0,0,1
1245,0,0,0,0
1246,0,0,0,0
1247,0,0,0,0
1248,0,0,0,0
1249,1,0,1,1
1250,0,0,0,0
1251,0,0,0,0
1252,1,0,1,1
1253,1,0,0,1
1254,1,0,1,1
1255,1,0,1,1
1256,1,0,1,1
1257,0,0,0,0
1258,0,0,0,0
1259,1,0,0,1
1260,0,0,0,0
1261,1,0,0,1
1262,0,0,0,0
1263,1,0,1,1
1264,0,0,0,0
1265,1,0,0,1
1266,0,0,0,0
1267,0,0,0,0
1268,0,0,0,0
1269,0,0,0,0
1270,1,0,1,1
1271,0,0,0,0
1272,0,0,0,0
1273,0,0,0,0
1274,0,0,0,0
1275,0,0,0,0
1276,1,0,0,1
1277,0,0,0,0
1278,1,0,1,1
1279,0,0,0,0
1280,1,0,0,1
1281,0,0,0,0
1282,0,0,0,0
1283,0,0,0,0
1284,0,0,0,0
1285,0,0,0,0
1286,1,1,1,1
1287,1,0,1,1
1288,1,0,1,1
1289,0,0,0,0
1290,0,0,0,0
1291,0,0,0,0
1292,0,0,0,0
1293,0,0,0,0
1294,0,0,0,0
1295,0,0,0,0
1296,1,0,1,1
1297,1,0,1,1
1298,1,0,0,1
1299,1,0,0,1
1300,0,0,0,0
1301,0,0,0,0
1302,1,0,0,1
1303,0,0,0,0
1304,0,0,0,0
1305,1,0,1,1
1306,0,0,0,0
1307,1,1,0,1
1308,1,0,1,1
1309,0,0,0,0
1310,1,0,0,1
1311,0,0,0,0
1312,1,0,1,1
1313,0,0,0,0
1314,0,0,0,0
1315,0,0,0,0
1316,0,0,0,0
1317,0,0,0,0
1318,0,0,0,0
1319,0,0,0,0
1320,1,0,0,1
1321,0,0,0,0
1322,0,0,0,0
1323,0,0,0,0
1324,0,0,0,0
1325,0,0,0,0
1326,1,0,1,1
1327,0,0,0,0
1328,0,0,0,0
1329,0,0,0,0
1330,1,0,0,1
1331,0,0,0,0
1332,1,0,1,1
1333,0,0,0,0
1334,0,0,0,0
1335,0,0,0,0
1336,1,0,0,1
1337,1,0,0,1
1338,1,0,0,1
1339,1,0,0,1
1340,1,0,1,1
1341,1,0,1,1
1342,1,0,1,1
1343,0,0,0,0
1344,0,0,0,0
1345,0,0,0,0
1346,0,0,0,0
1347,1,0,1,1
1348,0,0,0,0
1349,0,0,0,0
1350,1,0,1,1
1351,0,0,0,0
1352,1,0,0,1
1353,1,0,1,1
1354,1,1,1,1
1355,0,0,0,0
1356,0,0,0,0
1357,0,0,0,0
1358,0,0,0,0
1359,1,0,0,1
1360,0,0,0,0
1361,1,0,0,1
1362,0,0,0,0
1363,0,0,0,0
1364,0,0,0,0
1365,1,0,0,1
1366,0,0,0,0
1367,0,0,0,0
1368,0,0,0,0
1369,0,0,0,0
1370,1,0,1,1
1371,0,0,0,0
1372,0,0,0,0
1373,1,0,1,1
1374,0,0,0,0
1375,0,0,0,0
1376,0,0,0,0
1377,0,0,0,0
1378,0,0,0,0
1379,0,0,0,0
1380,1,0,1,1
1381,0,0,0,0
1382,1,0,1,1
1383,0,0,0,0
1384,1,0,1,1
1385,1,1,1,1
1386,0,0,0,0
1387,1,0,1,1
1388,0,0,0,0
1389,0,0,0,0
1390,0,0,0,0
1391,1,0,1,1
1392,1,0,1,1
1393,0,0,0,0
1394,1,0,0,1
1395,0,0,0,0
1396,1,0,0,1
1397,1,0,0,1
1398,0,0,0,0
1399,1,0,0,1
1400,0,0,0,0
1401,0,0,0,0
1402,0,0,0,0
1403,0,0,0,0
1404,0,0,0,0
1405,1,0,1,1
1406,0,0,0,0
1407,0,0,0,0
1408,0,0,0,0
1409,1,0,0,1
1410,0,0,0,0
1411,1,0,0,1
1412,0,0,0,0
1413,0,0,0,0
1414,1,0,1,1
1415,0,0,0,0
1416,0,0,0,0
1417,0,0,0,0
1418,1,0,0,1
1419,1,0,1,1
1420,0,0,0,0
1421,0,0,0,0
1422,1,0,1,1
1423,0,0,0,0
1424,1,0,1,1
1425,1,0,1,1
1426,0,0,0,0
1427,0,0,0,0
1428,0,0,0,0
1429,1,0,1,1
1430,0,0,0,0
1431,1,0,1,1
1432,1,0,1,1
1433,0,0,0,0
1434,0,0,0,0
1435,1,0,0,1
1436,0,0,0,0
1437,0,0,0,0
1438,1,1,1,1
1439,0,0,0,0
1440,0,0,0,0
1441,0,0,0,0
1442,0,0,0,0
1443,0,0,0,0
1444,1,0,1,1
1445,1,0,1,1
1446,0,0,0,0
1447,0,0,0,0
1448,0,0,0,0
1449,1,0,1,1
1450,0,0,0,0
1451,0,0,0,0
1452,1,0,1,1
1453,0,0,0,0
1454,0,0,0,0
1455,1,0,0,1
1456,1,0,1,1
1457,0,0,0,0
1458,0,0,0,0
1459,0,0,0,0
1460,0,0,0,0
1461,1,0,0,1
1462,0,0,0,0
1463,1,0,0,1
1464,1,0,0,1
1465,1,0,0,1
1466,1,0,1,1
1467,0,0,0,0
1468,0,0,0,0
1469,1,0,0,1
1470,0,0,0,0
1471,1,1,1,1
1472,0,0,0,0
1473,1,0,1,1
1474,1,0,1,1
1475,0,0,0,0
1476,0,0,0,0
1477,0,0,0,0
1478,1,0,0,1
1479,0,0,0,0
1480,0,0,0,0
1481,1,0,1,1
1482,0,0,0,0
1483,1,0,1,1
1484,1,0,0,1
1485,0,0,0,0
1486,1,0,0,1
1487,0,0,0,0
1488,1,0,0,1
1489,0,0,0,0
1490,0,0,0,0
1491,1,0,0,1
1492,0,0,0,0
1493,1,0,0,1
1494,0,0,0,0
1495,0,0,0,0
1496,0,0,0,0
1497,0,0,0,0
1498,0,0,0,0
1499,0,0,0,0
1500,0,0,0,0
1501,0,0,0,0
1502,1,0,1,1
1503,0,0,0,0
1504,1,0,1,1
1505,0,0,0,0
1506,0,0,0,0
1507,0,0,0,0
1508,0,0,0,0
1509,0,0,0,0
1510,0,0,0,0
1511,0,0,0,0
1512,0,0,0,0
1513,1,0,1,1
1514,0,0,0,0
1515,1,0,1,1
1516,0,0,0,0
1517,1,0,1,1
1518,1,0,0,1
1519,0,0,0,0
1520,0,0,0,0
1521,0,0,0,0
1522,0,0,0,0
1523,0,0,0,0
1524,1,0,0,1
1525,1,0,1,1
1526,0,0,0,0
1527,0,0,0,0
1528,0,0,0,0
1529,0,0,0,0
1530,0,0,0,0
1531,0,0,0,0
1532,0,0,0,0
1533,0,0,0,0
1534,0,0,0,0
1535,1,0,0,1
1536,0,0,0,0
1537,1,0,0,1
1538,1,0,0,1
1539,1,0,0,1
1540,1,0,0,1
1541,0,0,0,0
1542,0,0,0,0
