id,HS,TR,AG
20294,0,0,0
20295,1,1,0
20296,0,0,0
20297,0,0,0
20298,0,0,0
20299,0,0,0
20300,1,1,1
20301,1,1,1
20304,1,1,1
20306,0,0,0
20308,0,0,0
20309,0,0,0
20310,1,1,1
20311,0,0,0
20312,1,1,1
20313,1,1,1
20314,1,0,0
20316,1,1,1
20317,1,0,1
20318,0,0,0
20319,0,0,0
20320,0,0,0
20321,0,0,0
20322,1,1,1
20323,0,0,0
20324,1,0,1
20325,0,0,0
20326,1,0,0
20327,0,0,0
20328,0,0,0
20329,0,0,0
20330,0,0,0
20331,1,0,1
20332,0,0,0
20333,1,1,1
20334,1,1,0
20335,1,0,0
20336,0,0,0
20338,0,0,0
20339,0,0,0
20342,1,0,0
20343,1,1,1
20344,0,0,0
20345,1,0,0
20346,0,0,0
20347,1,1,1
20348,1,1,0
20349,1,1,1
20350,1,1,0
20351,0,0,0
20352,0,0,0
20354,1,1,1
20355,0,0,0
20356,1,1,1
20357,0,0,0
20358,1,0,1
20359,1,1,1
20360,0,0,0
20361,0,0,0
20362,0,0,0
20363,0,0,0
20364,1,1,1
20365,1,1,1
20366,0,0,0
20367,1,0,1
20368,1,1,1
20369,0,0,0
20371,0,0,0
20372,0,0,0
20373,0,0,0
20374,0,0,0
20375,1,1,1
20377,0,0,0
20378,1,1,1
20379,1,0,1
20380,0,0,0
20381,1,0,0
20382,1,1,1
20383,0,0,0
20384,1,1,1
20385,0,0,0
20386,1,0,0
20387,0,0,0
20388,1,1,1
20389,0,0,0
20390,1,0,0
20391,1,1,1
20392,1,0,1
20393,1,0,0
20394,1,0,0
20395,1,0,0
20396,1,1,1
20397,1,1,1
20398,1,1,1
20401,0,0,0
20402,0,0,0
20403,0,0,0
20404,0,0,0
20405,0,0,0
20406,0,0,0
20407,1,1,1
20408,0,0,0
20409,0,0,0
20410,0,0,0
20411,0,0,0
20412,0,0,0
20413,1,0,0
20415,0,0,0
20416,1,0,1
20417,0,0,0
20418,1,1,1
20419,0,0,0
20420,0,0,0
20421,1,1,1
20422,1,1,1
20423,0,0,0
20424,0,0,0
20425,0,0,0
20426,1,1,1
20427,0,0,0
20428,1,0,0
20431,0,0,0
20432,1,1,1
20433,0,0,0
20434,0,0,0
20435,0,0,0
20436,0,0,0
20437,0,0,0
20438,1,1,1
20439,0,0,0
20440,1,1,1
20441,0,0,0
20442,1,1,1
20443,1,1,1
20444,1,0,1
20445,1,1,1
20446,0,0,0
20447,0,0,0
20448,1,0,1
20449,1,1,1
20450,0,0,0
20452,0,0,0
20453,0,0,0
20454,0,0,0
20455,0,0,0
20456,1,1,1
20457,1,1,1
20459,0,0,0
20460,0,0,0
20461,1,1,1
20462,0,0,0
20463,0,0,0
20465,0,0,0
20466,0,0,0
20467,0,0,0
20468,0,0,0
20469,1,1,1
20470,1,1,1
20471,1,0,1
20472,1,1,1
20473,0,0,0
20474,0,0,0
20475,0,0,0
20476,0,0,0
20477,1,0,0
20478,0,0,0
20479,1,0,0
20480,0,0,0
20481,0,0,0
20482,1,0,1
20483,0,0,0
20484,1,0,0
20485,0,0,0
20486,1,1,1
20487,0,0,0
20488,1,1,1
20489,0,0,0
20490,0,0,0
20491,0,0,0
20492,1,0,0
20493,1,1,1
20494,0,0,0
20495,0,0,0
20497,1,1,1
20498,0,0,0
20499,1,1,1
20500,1,1,1
20501,0,0,0
20502,1,1,1
20503,0,0,0
20504,0,0,0
20505,0,0,0
20506,0,0,0
20507,1,0,1
20508,1,0,1
20509,1,0,1
20510,1,1,1
20512,0,0,0
20513,1,1,1
20514,0,0,0
20515,0,0,0
20517,1,1,1
20518,1,1,1
20519,0,0,0
20520,0,0,0
20521,0,0,0
20522,1,0,0
20523,0,0,0
20524,0,0,0
20525,0,0,0
20527,1,1,1
20528,0,0,0
20529,1,0,1
20530,0,0,0
20531,0,0,0
20532,1,0,1
20533,0,0,0
20534,1,0,1
20535,0,0,0
20537,1,0,1
20538,0,0,0
20540,0,0,0
20541,0,0,0
20542,0,0,0
20543,0,0,0
20544,0,0,0
20545,1,0,1
20546,0,0,0
20547,1,0,0
20548,0,0,0
20549,0,0,0
20550,0,0,0
20551,0,0,0
20553,0,0,0
20554,1,1,1
20555,1,0,1
20556,0,0,0
20557,0,0,0
20558,0,0,0
20559,1,1,1
20560,0,0,0
20561,0,0,0
20562,1,1,1
20563,0,0,0
20564,0,0,0
20566,0,0,0
20567,1,1,1
20568,0,0,0
20569,0,0,0
20570,0,0,0
20571,1,1,1
20572,1,0,0
20574,1,0,1
20575,1,0,0
20576,0,0,0
20577,0,0,0
20578,0,0,0
20580,1,0,1
20581,1,1,1
20582,0,0,0
20583,0,0,0
20585,0,0,0
20586,0,0,0
20587,0,0,0
20588,0,0,0
20589,0,0,0
20592,1,1,0
20593,1,0,1
20594,1,1,1
20595,0,0,0
20596,0,0,0
20597,0,0,0
20598,0,0,0
20599,0,0,0
20600,1,1,0
20601,0,0,0
20602,0,0,0
20604,0,0,0
20605,1,0,0
20606,0,0,0
20607,1,0,1
20608,1,1,1
20609,1,1,1
20610,1,1,1
20611,0,0,0
20613,1,1,1
20614,1,0,1
20615,1,0,0
20616,1,0,1
20618,1,0,0
20619,1,1,1
20621,0,0,0
20622,1,1,1
20624,0,0,0
20625,0,0,0
20626,0,0,0
20627,0,0,0
20628,1,1,1
20629,0,0,0
20630,1,0,0
20631,0,0,0
20632,0,0,0
20633,0,0,0
20634,1,1,1
20635,0,0,0
20636,1,1,1
20637,1,0,0
20638,1,1,1
20639,1,0,1
20640,1,0,0
20641,0,0,0
20642,1,1,1
20643,0,0,0
20645,0,0,0
20646,0,0,0
20647,1,1,1
20648,0,0,0
20649,1,0,1
20651,0,0,0
20653,0,0,0
20654,0,0,0
20655,1,1,1
20656,1,1,1
20658,1,1,1
20659,1,1,1
20660,1,1,1
20661,1,0,1
20662,0,0,0
20663,0,0,0
20664,0,0,0
20665,0,0,0
20666,0,0,0
20667,0,0,0
20668,0,0,0
20669,0,0,0
20670,0,0,0
20671,1,1,1
20672,1,1,1
20673,0,0,0
20674,0,0,0
20675,1,0,1
20676,1,1,1
20677,1,0,1
20678,1,0,1
20679,0,0,0
20680,1,1,1
20681,0,0,0
20682,1,0,1
20683,0,0,0
20684,0,0,0
20685,1,0,0
20687,0,0,0
20688,0,0,0
20689,1,0,0
20690,0,0,0
20691,1,0,0
20692,1,1,1
20693,1,1,1
20694,1,0,1
20695,0,0,0
20696,0,0,0
20697,0,0,0
20698,0,0,0
20699,0,0,0
20700,0,0,0
20701,1,0,1
20702,0,0,0
20703,0,0,0
20704,0,0,0
20705,0,0,0
20706,1,1,1
20707,0,0,0
20708,0,0,0
20709,0,0,0
20710,0,0,0
20712,0,0,0
20713,1,0,1
20714,1,1,1
20715,0,0,0
20716,0,0,0
20718,1,1,1
20719,0,0,0
20721,0,0,0
20722,1,0,1
20723,0,0,0
20724,1,0,1
20725,0,0,0
20726,0,0,0
20727,1,0,1
20728,1,1,1
20729,1,1,0
20730,0,0,0
20731,1,1,1
20732,0,0,0
20733,0,0,0
20734,0,0,0
20735,0,0,0
20736,0,0,0
20739,0,0,0
20740,1,0,1
20742,1,1,1
20743,1,1,1
20744,1,1,1
20745,0,0,0
20746,0,0,0
20752,1,0,1
20753,1,1,1
20754,0,0,0
20755,0,0,0
20756,1,1,1
20757,1,1,0
20758,0,0,0
20759,0,0,0
20760,1,1,1
20761,1,0,1
20762,1,1,1
20763,1,1,1
20764,0,0,0
20765,0,0,0
20766,1,1,1
20767,1,1,1
20768,0,0,0
20769,1,1,1
20770,0,0,0
20771,0,0,0
20772,0,0,0
20773,0,0,0
20774,0,0,0
20775,1,0,1
20776,1,0,1
20777,0,0,0
20778,1,1,1
20779,0,0,0
20780,0,0,0
20781,1,1,1
20782,0,0,0
20783,0,0,0
20784,1,1,0
20785,1,1,1
20786,0,0,0
20787,0,0,0
20788,0,0,0
20789,1,1,1
20790,1,1,1
20791,0,0,0
20792,0,0,0
20793,0,0,0
20795,1,1,1
20796,0,0,0
20797,1,1,1
20798,0,0,0
20799,0,0,0
20801,0,0,0
20802,1,1,1
20804,0,0,0
20805,0,0,0
20806,0,0,0
20807,0,0,0
20808,1,0,0
20809,0,0,0
20810,0,0,0
20811,0,0,0
20812,0,0,0
20815,0,0,0
20816,0,0,0
20817,1,0,1
20818,0,0,0
20820,0,0,0
20821,0,0,0
20822,0,0,0
20823,0,0,0
20825,1,0,0
20826,0,0,0
20827,0,0,0
20828,0,0,0
20829,0,0,0
20830,1,1,1
20831,0,0,0
20832,0,0,0
20834,0,0,0
20836,0,0,0
20838,0,0,0
20839,0,0,0
20840,1,1,1
20841,0,0,0
20842,1,1,1
20843,0,0,0
20844,0,0,0
20845,1,0,1
20846,1,1,1
20847,0,0,0
20848,0,0,0
20849,1,0,1
20850,1,1,1
20851,0,0,0
20852,0,0,0
20853,1,1,1
20854,1,0,1
20855,1,1,1
20856,1,0,1
20857,0,0,0
20858,1,1,1
20859,0,0,0
20860,0,0,0
20862,1,1,1
20863,1,1,1
20864,1,0,1
20866,0,0,0
20867,1,0,1
20868,1,0,1
20869,0,0,0
20870,1,1,1
20871,0,0,0
20874,1,1,1
20875,0,0,0
20876,0,0,0
20877,0,0,0
20878,0,0,0
20879,0,0,0
20880,0,0,0
20881,0,0,0
20882,1,0,1
20883,0,0,0
20884,0,0,0
20885,1,1,1
20886,1,1,1
20887,0,0,0
20888,0,0,0
20889,1,1,1
20890,0,0,0
20891,0,0,0
20892,1,0,1
20893,1,0,1
20894,0,0,0
20895,1,1,1
20896,0,0,0
20897,1,1,1
20898,1,1,1
20899,0,0,0
20900,1,1,1
20901,0,0,0
20902,0,0,0
20903,1,0,1
20904,0,0,0
20905,1,1,1
20906,1,1,1
20907,0,0,0
20908,1,0,1
20909,0,0,0
20910,0,0,0
20911,1,1,1
20912,0,0,0
20913,0,0,0
20914,1,1,1
20915,0,0,0
20916,0,0,0
20917,0,0,0
20919,0,0,0
20920,0,0,0
20921,0,0,0
20923,0,0,0
20924,0,0,0
20925,0,0,0
20926,0,0,0
20927,0,0,0
20929,0,0,0
20930,0,0,0
20931,1,0,0
20932,1,1,1
20934,0,0,0
20936,0,0,0
20937,1,1,1
20938,1,1,1
20939,1,1,1
20941,0,0,0
20944,1,0,1
20945,1,1,1
20947,1,1,1
20948,1,1,1
20949,1,1,1
20950,0,0,0
20954,0,0,0
20955,1,0,1
20956,1,1,1
20957,0,0,0
20958,1,1,1
20959,1,0,0
20960,0,0,0
20961,0,0,0
20962,0,0,0
20963,1,0,0
20964,1,1,1
20965,1,0,0
20966,1,0,0
20967,0,0,0
20968,0,0,0
20969,0,0,0
20970,0,0,0
20971,1,1,1
20972,0,0,0
20973,1,1,1
20974,0,0,0
20975,0,0,0
20976,1,1,1
20977,0,0,0
20978,0,0,0
20979,1,1,1
20980,1,0,1
20982,0,0,0
20983,1,0,1
20984,1,0,1
20985,0,0,0
20987,1,1,1
20988,1,1,1
20989,1,1,1
20991,1,0,0
20992,0,0,0
20993,0,0,0
20994,1,1,1
20995,0,0,0
20996,0,0,0
20997,1,1,1
20998,1,0,1
20999,0,0,0
21000,1,0,0
21001,0,0,0
21002,1,0,1
21003,0,0,0
21004,1,1,1
21005,0,0,0
21006,1,1,1
21007,1,0,0
21008,1,1,1
21009,1,1,1
21010,0,0,0
21011,0,0,0
21012,0,0,0
21013,1,1,1
21014,0,0,0
21016,1,1,1
21017,0,0,0
21018,0,0,0
21019,0,0,0
21020,0,0,0
21021,1,1,1
21022,1,1,1
21023,1,1,1
21024,0,0,0
21025,0,0,0
21026,1,1,1
21027,1,1,1
21028,0,0,0
21029,0,0,0
21030,0,0,0
21031,0,0,0
21032,0,0,0
21033,0,0,0
21035,1,1,1
21036,0,0,0
21037,1,0,0
21038,0,0,0
21039,0,0,0
21040,1,1,1
21041,0,0,0
21042,0,0,0
21043,0,0,0
21045,0,0,0
21046,0,0,0
21047,0,0,0
21048,0,0,0
21049,1,1,1
21051,0,0,0
21052,0,0,0
21053,0,0,0
21054,0,0,0
21055,0,0,0
21056,0,0,0
21057,1,0,1
21058,0,0,0
21059,0,0,0
21060,0,0,0
21061,0,0,0
21062,0,0,0
21063,0,0,0
21064,0,0,0
21065,1,0,1
21067,1,1,1
21068,1,0,1
21069,0,0,0
21070,0,0,0
21071,1,1,1
21073,0,0,0
21074,1,1,0
21075,1,1,1
21078,0,0,0
21079,1,0,0
21080,1,0,1
21082,1,0,1
21083,0,0,0
21084,0,0,0
21085,1,1,1
21086,1,0,1
21087,0,0,0
21088,0,0,0
21089,1,0,1
21090,1,1,1
21091,0,0,0
21092,1,0,1
21093,1,0,0
21094,1,1,1
21095,0,0,0
21096,1,0,0
21097,0,0,0
21098,1,1,1
21099,0,0,0
21101,0,0,0
21102,1,0,1
21103,0,0,0
21105,0,0,0
21106,0,0,0
21107,0,0,0
21108,0,0,0
21109,0,0,0
21110,0,0,0
21111,1,1,0
21112,1,1,1
21113,1,1,0
21114,0,0,0
21115,0,0,0
21117,0,0,0
21118,1,0,0
21119,0,0,0
21120,0,0,0
21121,0,0,0
21122,0,0,0
21123,0,0,0
21125,1,1,1
21126,0,0,0
21127,1,1,1
21128,0,0,0
21129,1,1,1
21130,1,0,1
21131,1,0,1
21132,0,0,0
21133,0,0,0
21134,1,1,1
21135,0,0,0
21136,0,0,0
21137,0,0,0
21138,0,0,0
21139,0,0,0
21140,1,0,1
21141,1,1,1
21142,0,0,0
21143,1,1,1
21145,1,0,0
21146,0,0,0
21147,0,0,0
21148,0,0,0
21150,0,0,0
21151,1,1,1
21153,0,0,0
21154,0,0,0
21156,1,1,1
21157,1,1,1
21158,1,0,1
21159,0,0,0
21160,0,0,0
21161,1,1,1
21162,1,0,1
21163,0,0,0
21164,0,0,0
21165,0,0,0
21166,0,0,0
21167,1,1,1
21168,0,0,0
21171,0,0,0
21173,1,0,0
21174,0,0,0
21175,0,0,0
21176,0,0,0
21177,0,0,0
21178,1,1,1
21179,0,0,0
21180,0,0,0
21181,0,0,0
21182,0,0,0
21183,1,1,1
21184,0,0,0
21185,1,0,1
21186,0,0,0
21187,1,0,1
21188,1,1,1
21189,0,0,0
21190,0,0,0
21191,1,0,0
21192,1,1,1
21193,0,0,0
21194,0,0,0
21195,0,0,0
21196,0,0,0
21197,1,1,1
21198,1,0,1
21199,0,0,0
21200,1,0,0
21201,0,0,0
21202,0,0,0
21203,0,0,0
21204,1,0,0
21205,0,0,0
21206,0,0,0
21207,0,0,0
21208,0,0,0
21209,1,1,1
21210,0,0,0
21211,0,0,0
21212,0,0,0
21213,1,1,1
21214,0,0,0
21216,0,0,0
21217,0,0,0
21218,1,0,1
21219,1,1,1
21220,0,0,0
21223,0,0,0
21224,0,0,0
21225,0,0,0
21226,1,0,0
21227,1,1,1
21229,0,0,0
21230,0,0,0
21231,1,1,1
21232,1,1,1
21233,0,0,0
21234,0,0,0
21235,0,0,0
21236,1,1,1
21237,0,0,0
21239,0,0,0
21240,1,1,1
21241,1,1,1
21242,0,0,0
21243,1,1,1
21244,0,0,0
21245,1,1,1
21246,0,0,0
21247,0,0,0
21248,0,0,0
21250,0,0,0
21251,0,0,0
21252,1,0,0
21253,0,0,0
21254,0,0,0
21256,0,0,0
21258,0,0,0
21259,0,0,0
21260,1,1,1
21261,1,1,1
21262,0,0,0
21264,1,1,1
21265,0,0,0
21266,0,0,0
21267,0,0,0
21268,0,0,0
21270,1,1,0
21271,0,0,0
21272,0,0,0
21273,0,0,0
21274,0,0,0
21275,0,0,0
21276,1,1,1
21278,0,0,0
21279,0,0,0
21280,0,0,0
21281,0,0,0
21283,1,0,1
21285,0,0,0
21286,0,0,0
21287,1,1,1
21288,0,0,0
21289,0,0,0
21290,1,1,1
21291,0,0,0
21292,0,0,0
21293,1,0,0
21294,1,1,1
21295,0,0,0
21296,0,0,0
21298,0,0,0
21299,1,0,0
21300,1,1,1
21301,0,0,0
21302,1,1,1
21303,0,0,0
21304,0,0,0
21306,1,0,1
21307,0,0,0
21308,0,0,0
21309,0,0,0
21310,0,0,0
21311,0,0,0
21312,0,0,0
21313,1,1,1
21314,0,0,0
21315,1,1,1
21316,1,1,1
21317,1,1,1
21318,0,0,0
21319,0,0,0
21320,1,1,0
21321,0,0,0
21322,0,0,0
21323,1,1,1
21324,1,0,1
21325,0,0,0
21326,1,0,0
21328,0,0,0
21329,1,1,1
21330,1,1,1
21331,1,1,1
21332,0,0,0
21334,0,0,0
21336,0,0,0
21337,1,1,1
21338,0,0,0
21340,0,0,0
21341,0,0,0
21342,1,0,1
21343,1,0,1
21344,1,1,1
21345,1,1,1
21346,1,0,0
21347,1,1,1
21348,0,0,0
21349,1,0,1
21350,0,0,0
21352,0,0,0
21353,0,0,0
21354,1,1,1
21355,1,1,1
21356,1,1,1
21357,0,0,0
21358,0,0,0
21359,0,0,0
21360,1,0,1
21361,0,0,0
21362,0,0,0
21363,0,0,0
21364,0,0,0
21365,1,1,1
21366,0,0,0
21367,0,0,0
21368,1,1,1
21369,1,1,1
21370,0,0,0
21371,1,0,1
21372,1,0,1
21373,0,0,0
21374,0,0,0
21375,0,0,0
21376,1,0,0
21377,1,1,1
21378,0,0,0
21379,0,0,0
21380,0,0,0
21381,0,0,0
21382,0,0,0
21383,1,1,1
21384,0,0,0
21385,1,1,1
21386,0,0,0
21388,0,0,0
21389,0,0,0
21390,1,1,1
21391,1,1,1
21392,1,1,1
21393,1,0,1
21394,0,0,0
21395,0,0,0
21396,0,0,0
21397,0,0,0
21399,1,0,1
21400,0,0,0
21401,1,1,1
21403,1,1,1
21404,0,0,0
21405,0,0,0
21406,1,0,0
21407,0,0,0
21408,1,0,1
21409,1,1,1
21410,1,0,1
21411,0,0,0
21412,0,0,0
21413,0,0,0
21414,0,0,0
21415,1,0,0
21416,0,0,0
21418,0,0,0
21419,0,0,0
21420,1,0,0
21421,0,0,0
21422,0,0,0
21423,0,0,0
21424,0,0,0
21425,0,0,0
21426,0,0,0
21427,0,0,0
21428,1,1,1
21429,0,0,0
21430,1,0,1
21431,0,0,0
21432,1,1,1
21434,1,1,1
21435,1,0,0
21436,0,0,0
21437,0,0,0
21439,1,1,1
21441,0,0,0
21442,0,0,0
21443,1,1,1
21444,1,0,0
21445,1,1,1
21446,1,1,1
21447,0,0,0
21448,0,0,0
21450,0,0,0
21451,0,0,0
21452,0,0,0
21453,1,1,1
21454,1,0,1
21456,0,0,0
21457,1,1,1
21458,1,1,1
21459,1,0,1
21460,0,0,0
21461,0,0,0
21462,1,1,1
21463,0,0,0
21464,0,0,0
21465,1,1,1
21466,1,1,1
21467,0,0,0
21468,0,0,0
21470,0,0,0
21471,1,1,1
21472,0,0,0
21473,0,0,0
21474,1,1,1
21475,1,1,1
21476,1,0,1
21477,0,0,0
21478,0,0,0
21479,0,0,0
21480,0,0,0
21481,0,0,0
21482,0,0,0
21483,0,0,0
21484,0,0,0
21485,1,1,1
21486,0,0,0
21487,0,0,0
21488,1,0,1
21489,0,0,0
21490,0,0,0
21492,1,1,1
21494,0,0,0
21495,0,0,0
21496,0,0,0
21498,1,1,1
21499,0,0,0
21500,0,0,0
21501,1,1,1
21502,1,0,1
21503,1,1,1
21504,1,1,1
21505,0,0,0
21506,0,0,0
21507,1,0,0
21508,1,0,1
21509,1,1,1
21510,0,0,0
21511,0,0,0
21512,0,0,0
21513,1,0,1
21514,0,0,0
21515,0,0,0
21516,0,0,0
21517,0,0,0
21518,1,1,0
21519,0,0,0
21520,1,0,0
21521,0,0,0
21522,0,0,0
21523,0,0,0
21524,0,0,0
21525,0,0,0
21526,1,1,1
21527,0,0,0
21528,0,0,0
21529,0,0,0
21530,1,1,1
21531,1,1,1
21532,0,0,0
21533,0,0,0
21534,0,0,0
21536,1,1,1
21537,0,0,0
21538,0,0,0
21539,0,0,0
21540,1,1,1
21541,1,0,1
21542,0,0,0
21543,0,0,0
21544,0,0,0
21545,0,0,0
21546,0,0,0
21547,0,0,0
21548,1,1,1
21549,0,0,0
21550,0,0,0
21551,0,0,0
21552,0,0,0
21553,1,0,1
21554,1,1,1
21555,0,0,0
21556,0,0,0
21557,1,0,0
21558,0,0,0
21559,0,0,0
21560,1,1,1
21561,1,1,1
21562,0,0,0
21563,0,0,0
21564,0,0,0
21566,1,0,1
21567,1,1,1
21568,0,0,0
21569,1,1,1
21570,0,0,0
21572,0,0,0
21573,1,1,1
21574,0,0,0
21575,0,0,0
21576,1,1,1
21577,0,0,0
21578,1,0,0
21579,0,0,0
21580,0,0,0
21581,0,0,0
21582,0,0,0
21583,1,0,1
21584,0,0,0
21585,0,0,0
21586,0,0,0
21587,0,0,0
21588,0,0,0
21589,0,0,0
21590,1,1,1
21591,0,0,0
21592,0,0,0
21593,1,0,0
21594,0,0,0
21595,0,0,0
21596,0,0,0
21597,1,0,1
21600,0,0,0
21601,1,1,1
21602,1,0,1
21604,0,0,0
21605,0,0,0
21606,0,0,0
21607,1,1,1
21608,1,1,1
21609,0,0,0
21610,0,0,0
21611,0,0,0
21613,0,0,0
21614,1,0,1
21615,0,0,0
21618,0,0,0
21620,1,1,1
21621,0,0,0
21623,0,0,0
21624,1,0,1
21625,0,0,0
21626,0,0,0
21627,0,0,0
21628,1,1,1
21629,0,0,0
21630,1,1,1
21632,0,0,0
21633,0,0,0
21634,0,0,0
21635,0,0,0
21636,0,0,0
21638,1,1,1
21639,1,1,1
21640,1,1,1
21641,0,0,0
21642,1,1,1
21644,1,1,0
21645,0,0,0
21646,1,1,1
21647,0,0,0
21648,1,1,1
21649,1,0,1
21650,0,0,0
21651,0,0,0
21652,0,0,0
21653,0,0,0
21654,0,0,0
21655,0,0,0
21656,0,0,0
21657,1,1,1
21658,1,1,1
21659,1,0,1
21661,0,0,0
21662,0,0,0
21663,0,0,0
21664,0,0,0
21665,1,1,1
21666,1,1,1
21668,0,0,0
21669,0,0,0
21672,1,1,1
21673,1,0,1
21674,1,0,1
21675,1,1,1
21676,0,0,0
21677,1,1,1
21678,0,0,0
21679,1,0,1
21680,0,0,0
21681,0,0,0
21682,1,1,1
21683,0,0,0
21684,0,0,0
21685,0,0,0
21686,0,0,0
21687,1,1,1
21688,1,1,1
21689,0,0,0
21690,0,0,0
21691,0,0,0
21692,1,1,1
21693,0,0,0
21694,0,0,0
21695,0,0,0
21696,0,0,0
21697,1,1,1
21698,0,0,0
21699,0,0,0
21700,1,0,1
21701,0,0,0
21702,1,0,0
21703,1,1,1
21704,1,1,1
21706,1,1,1
21707,1,0,0
21708,0,0,0
21709,0,0,0
21710,0,0,0
21711,0,0,0
21712,1,1,1
21713,1,1,0
21714,1,1,1
21715,1,1,1
21716,0,0,0
21717,1,1,1
21718,1,1,0
21719,0,0,0
21720,1,1,1
21721,1,0,0
21722,0,0,0
21723,0,0,0
21724,0,0,0
21725,1,1,1
21726,1,0,1
21728,1,0,1
21729,1,0,1
21730,1,1,1
21731,1,0,1
21732,0,0,0
21733,1,0,0
21734,0,0,0
21735,1,0,1
